symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(SOUNDG22),SOUNDG22,SY,308,258,0,not_in_standard_source_table,
SY(SOUNDG23),SOUNDG23,SY,309,259,0,not_in_standard_source_table,
SY(SOUNDG24),SOUNDG24,SY,310,260,0,not_in_standard_source_table,
SY(SOUNDG25),SOUNDG25,SY,311,261,0,not_in_standard_source_table,
SY(SOUNDG26),SOUNDG26,SY,312,262,0,not_in_standard_source_table,
SY(SOUNDG27),SOUNDG27,SY,313,263,0,not_in_standard_source_table,
SY(SOUNDG28),SOUNDG28,SY,314,264,0,not_in_standard_source_table,
SY(SOUNDG29),SOUNDG29,SY,315,265,0,not_in_standard_source_table,
SY(SOUNDG30),SOUNDG30,SY,316,266,0,not_in_standard_source_table,
SY(SOUNDG31),SOUNDG31,SY,317,267,0,not_in_standard_source_table,
